model,class,precision,recall,f1_score,support
"STATIC (k=45, C=0.3)",elementary,0.8581,0.8383,0.8481,303
"STATIC (k=45, C=0.3)",middle,0.7446,0.6809,0.7113,304
"STATIC (k=45, C=0.3)",high,0.8006,0.8878,0.8419,303
"PROMPT (k=50, C=0.3)",elementary,0.6571,0.6832,0.6699,303
"PROMPT (k=50, C=0.3)",middle,0.6148,0.5197,0.5633,304
"PROMPT (k=50, C=0.3)",high,0.7751,0.8647,0.8175,303
"COMBO (k=100, C=10.0)",elementary,0.9091,0.8581,0.8829,303
"COMBO (k=100, C=10.0)",middle,0.7599,0.7599,0.7599,304
"COMBO (k=100, C=10.0)",high,0.8187,0.8647,0.8411,303
