model,class,precision,recall,f1_score,support
"STATIC (k=45, C=0.3)",elementary,0.8581,0.8383,0.8481,303
"STATIC (k=45, C=0.3)",middle,0.7446,0.6809,0.7113,304
"STATIC (k=45, C=0.3)",high,0.8006,0.8878,0.8419,303
"PROMPT (k=35, C=0.1)",elementary,0.7652,0.8713,0.8148,303
"PROMPT (k=35, C=0.1)",middle,0.7751,0.5329,0.6316,304
"PROMPT (k=35, C=0.1)",high,0.7809,0.9175,0.8437,303
"COMBO (k=90, C=10.0)",elementary,0.9158,0.8614,0.8878,303
"COMBO (k=90, C=10.0)",middle,0.777,0.7566,0.7667,304
"COMBO (k=90, C=10.0)",high,0.8298,0.901,0.8639,303
