model,class,precision,recall,f1_score,support
"STATIC (k=45, C=0.3)",elementary,0.8581,0.8383,0.8481,303
"STATIC (k=45, C=0.3)",middle,0.7446,0.6809,0.7113,304
"STATIC (k=45, C=0.3)",high,0.8006,0.8878,0.8419,303
"PROMPT (k=45, C=1.0)",elementary,0.7469,0.7987,0.7719,303
"PROMPT (k=45, C=1.0)",middle,0.7087,0.5362,0.6105,304
"PROMPT (k=45, C=1.0)",high,0.7837,0.9208,0.8467,303
"COMBO (k=90, C=3.0)",elementary,0.9057,0.8878,0.8967,303
"COMBO (k=90, C=3.0)",middle,0.7838,0.7632,0.7733,304
"COMBO (k=90, C=3.0)",high,0.836,0.8746,0.8548,303
